Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
TfYHI-UuoAI,Fernando Daniel - prometo,FernandoDanielVEVO,2022-12-14T20:13:00Z,Fernando Daniel – Prometo Ouve a Música: https://FernandoDaniel.lnk.to/PrometoID Subscreve a Newsletter: ...,[],UC3FH_QcfW6Eu1LaVhNzcXcQ,8164395,81391,0,2194,{},[],{}
VYFH4KNvGH0,"Musica para trabajar activo y alegre - Música Alegre para en Tiendas, Cafés| Deep House Mix 2024 #31",Legend Music - Música Electrónica,2024-05-09T03:26:27Z,"Musica para trabajar activo y alegre - Música Alegre para en Tiendas, Cafés| Deep House Mix 2024 #31 Musica para trabajar ...",[],UCNnQqoYFCqLID3GAMkGtS6A,50584,171,0,4,{},[],{}
Mukzhc_lpHc,"VÍDEO/MÚSICA DE FUNK PRA STATUS (+Letra) MC Kaio, Não sei porque você se foi🥺🔥🎶",insta: iii_italo_,2022-03-26T00:08:39Z,Opan segui aí por favor  ❤ Gostou do vídeo? se gostou deixa o like por favor  ❤ Você amo Lyrics? se você amo então segui aí ...,[],UCYPXDDquvgk6hEOSmhfzLDA,345328,22081,0,242,{},[],{}
11e4sW-Q4Ns,L2K - Jerusalema  Chorégraphie Officiel.,L2K,2020-07-31T00:29:32Z,Découvrez mon dernier single : https://www.youtube.com/watch?v=bpYh8GSmc18 Médicament | L2K Liens vers les ...,[],UCIMbaLmPW22pxXZASAccFfg,372311658,1447666,0,28633,{},[],{}
PLTECT3TR0s,Maravilhosa - Zé Vaqueiro (Clipe Oficial),Zé Vaqueiro,2024-03-29T14:00:08Z,"Maravilhosa - Zé Vaqueiro (Clipe Oficial) Confira o Clipe Oficial de ""Maravilhosa"" do Zé Vaqueiro. Ouça nas plataformas digitais: ...",[],UCF1QpivnnDnbM85kPbR-sWA,12081912,56925,0,5594,{},[],{}
qPvHXFombyU,Música de Natal - Bate o Sino Pequenino - Coleção Miau,Coleção Miau,2014-12-17T21:50:48Z,A coleção Miau apresenta vídeos para crianças de datas festivas com músicas e símbolos do natal no mundo ocidental.,[],UCzHttst_V8B5EP-Ljh-odMg,67172335,479416,0,0,{},[],{}
pWjmpSD-ph0,Música Relaxante - Acalmar a Mente e Relaxar,Cassio Toledo,2016-01-10T23:30:18Z,"Música relaxante para acalmar a mente e relaxar profundamente. Vídeo HD com cachoeira em câmera lenta, floresta e lago, com ...",[],UCK8QPDq9zKnfSEWQImX5Ebg,127315603,1281974,0,62304,{},[],{}
20L5FjB0Pls,COMO EU FAÇO MINHAS MÚSICAS #shorts #wesleygonzaga #megaacura,WESLEY GONZAGA,2023-11-30T20:43:43Z,,[],UCv2QvtD8nQACodFX0SFO1Eg,4637218,235460,0,2807,{},[],{}
sOgYk0iXNls,Maiara e Maraisa - A Culpa É Nossa - DVD Identidade,Maiara e Maraisa,2022-12-16T11:59:41Z,MaiaraeMaraisa #ACulpaÉNossa INSCREVA-SE NO NOSSO CANAL: https://goo.gl/8rlBhZ Para shows: (62) 3241-7163 ...,[],UCULzCZWkkOb9dW8rr6dguQQ,253023709,554512,0,8024,{},[],{}
ZbZSe6N_BXs,Pharrell Williams - Happy (Video),PharrellWilliamsVEVO,2014-01-08T08:00:01Z,"Official Music Video for ""Happy"" by Pharrell Williams Listen to Pharrell: https://PharrellWilliams.lnk.to/listenYD Subscribe to the ...",[],UCtQMmwBJGvINGU0lZ_GrZKQ,1288242747,8535040,0,230041,{},[],{}
jzDQ1pR5tME,Rosa Linn - Snap | tradução (sped up tiktok),LYRAE,2022-07-21T20:42:43Z,bem vindo obrigada por assistir! se gostou da tradução se inscreva no canal e ative as notificações. ッ caso encontre algum ...,[],UC1GoRhjiytuJiJI2Idpg-ag,6447673,118023,0,1714,{},[],{}
vowlsR3TpfI,MC Vitão feat. Dennis DJ - Olha o Gás (KondZilla) | Official Music Video,Canal KondZilla,2017-02-13T18:00:05Z,Check out the amazing music video of MC Vitão feat. Dennis DJ Like and share with everybody. Échale un vistazo al video ...,[],UCffDXn7ycAzwL2LDlbyWOTw,170399923,1717568,0,55413,{},[],{}
8_oE-iQeFeE,Amor de Verdade - MC Kekel e MC Rita (KondZilla) | Official Music Video,Canal KondZilla,2018-03-31T18:00:00Z,"Escute agora MC Kekel e MC Rita com ""Amor de Verdade"". Uma parceria de sucesso! MC Kekel é o grande nome do funk ...",[],UCffDXn7ycAzwL2LDlbyWOTw,759070360,6983253,0,288717,{},[],{}
